= Physics/Vehicle coverage triage =
=
= Every name tools/coverage.sh Vehicle reports as unmatched, classified. The
= tool matches literally, so a name here is not evidence of a gap: it
= over-counts solver internals that must never cross a C boundary, and it
= misses bindings whose declaration wraps onto a second line or whose return
= type contains a digit (uint32_t/int32_t) — its `bound` regex character class
= excludes digits, so those declarations are invisible to it.
=
= NAME  CATEGORY  reason

AllowSleep  INTERNAL  polled by the physics system, not driven by a host: VehicleConstraint::OnStep asks mController->AllowSleep() (VehicleConstraint.cpp:312), which folds in VehicleTransmission/VehicleEngine::AllowSleep (WheeledVehicleController.cpp:237-238).
ApplyDamping  INTERNAL  VehicleEngine RPM integration, called from inside the controller's own PreCollide (WheeledVehicleController.cpp:288, TrackedVehicleController.cpp:251).
ApplyTorque  INTERNAL  VehicleEngine RPM integration from the controller's PostCollide (WheeledVehicleController.cpp:606); the Wheel overload is the brake torque the same pass applies (WheeledVehicleController.cpp:643).
BuildIslands  INTERNAL  Constraint override the island builder calls per tick.
BuildIslandSplits  INTERNAL  Constraint override the large-island splitter calls per tick.
CalculateAngularVelocity  INTERNAL  WheelTV helper the tracked controller calls on its own wheels each step (TrackedVehicleController.cpp:68,347,416).
CalculateTorqueRatio  INTERNAL  VehicleDifferentialSettings helper used inside the wheeled controller's torque split (WheeledVehicleController.cpp:393).
ClampRPM  INTERNAL  unit helper; VehicleEngine calls it after every ApplyTorque/ApplyDamping (VehicleEngine.cpp:51,61).
ConstructController  EXTENSION_POINT  the pure-virtual factory on VehicleControllerSettings that C++ subclassing goes through (VehicleConstraint.cpp:95). zjolt covers it with ZJoltVehicleControllerKind plus the per-kind fields of ZJoltVehicleConstraintDesc: pick a kind, fill in a desc.
ConvertRPMToAngle  INTERNAL  unit helper for the debug RPM meter's needle angle (VehicleEngine.cpp:70).
DegreesToRadians  INTERNAL  a Jolt-wide math unit helper, matched by name only; not vehicle API.
DrawRPM  INTERNAL  debug-draw internal called by the controller's own Draw (WheeledVehicleController.cpp:752, TrackedVehicleController.cpp:437).
EnableLeanController  BOUND_ELSEWHERE  zjoltVehicleConstraintSetMotorcycleLeanControllerEnabled.
EnableLeanSteeringLimit  BOUND_ELSEWHERE  zjoltVehicleConstraintSetMotorcycleLeanSteeringLimitEnabled.
GetAntiRollBars  REAL_GAP  bound as zjoltVehicleConstraintGetAntiRollBarCount / zjoltVehicleConstraintGetAntiRollBar. Stiffness was creation-time only (ZJoltVehicleAntiRollBarDesc) with no read-back.
GetBodyFilter  REAL_GAP  bound as the `body` member of ZJoltVehicleWheelFilters, read back by zjoltVehicleConstraintGetWheelFilters.
GetBrakeInput  BOUND_ELSEWHERE  zjoltVehicleConstraintGetBrakeInput; bound literally under that name, on a wrapped declaration line the tool's single-line regex cannot see.
GetBroadPhaseLayerFilter  REAL_GAP  bound as the `broad_phase_layer` member of ZJoltVehicleWheelFilters.
GetClutchFriction  BOUND_ELSEWHERE  zjoltVehicleConstraintGetClutchFriction (wrapped declaration line).
GetCombineFriction  REAL_GAP  bound as zjoltVehicleConstraintGetCombineFrictionCallback / SetCombineFrictionCallback — per-surface tire friction (ice, gravel) was unreachable.
GetConstraintSettings  BOUND_ELSEWHERE  ZJoltVehicleConstraintDesc plus zjoltVehicleConstraintCreate. Jolt *Settings types exist to serialise a scene; BINDING.md keeps them off the ABI because a host has its own asset format, and the desc is that surface.
GetContactBodyID  BOUND_ELSEWHERE  zjoltVehicleConstraintGetWheelContactBodyId.
GetContactSubShapeID  BOUND_ELSEWHERE  zjoltVehicleConstraintGetWheelContactSubShapeId.
GetCurrentGear  BOUND_ELSEWHERE  zjoltVehicleConstraintGetCurrentGear; invisible to the tool because it returns int32_t.
GetCurrentRatio  BOUND_ELSEWHERE  zjoltVehicleConstraintGetGearRatio.
GetCurrentRPM  BOUND_ELSEWHERE  zjoltVehicleConstraintGetEngineRpm.
GetDifferentialLimitedSlipRatio  REAL_GAP  bound as zjoltVehicleConstraintGetDifferentialLimitedSlipRatio; was creation-time only.
GetDifferentials  REAL_GAP  bound as zjoltVehicleConstraintGetDifferentialCount / GetDifferential / SetDifferential — Jolt's mutable GetDifferentials() retunes ratio, split and limited slip per step; zjolt had creation-time descs only.
GetEngine  BOUND_ELSEWHERE  its runtime state is zjoltVehicleConstraintGetEngineRpm / SetEngineRpm / GetEngineTorque; its settings are creation-time via ZJoltVehicleEngineDesc.
GetForwardInput  BOUND_ELSEWHERE  zjoltVehicleConstraintGetForwardInput (wrapped declaration line).
GetHandBrakeInput  BOUND_ELSEWHERE  zjoltVehicleConstraintGetWheeledHandBrakeInput.
GetLateralLambda  BOUND_ELSEWHERE  zjoltVehicleConstraintGetWheelLateralLambda.
GetLeanSmoothingFactor  REAL_GAP  bound as the `lean_smoothing_factor` field of ZJoltVehicleMotorcycleLeanSpring, read by zjoltVehicleConstraintGetMotorcycleLeanSpring.
GetLeanSpringConstant  REAL_GAP  bound as ZJoltVehicleMotorcycleLeanSpring.spring_constant via zjoltVehicleConstraintGetMotorcycleLeanSpring.
GetLeanSpringDamping  REAL_GAP  bound as ZJoltVehicleMotorcycleLeanSpring.spring_damping.
GetLeanSpringIntegrationCoefficient  REAL_GAP  bound as ZJoltVehicleMotorcycleLeanSpring.spring_integration_coefficient.
GetLeanSpringIntegrationCoefficientDecay  REAL_GAP  bound as ZJoltVehicleMotorcycleLeanSpring.spring_integration_coefficient_decay.
GetLeftRatio  BOUND_ELSEWHERE  zjoltVehicleConstraintGetTrackedLeftRatio.
GetLongitudinalLambda  BOUND_ELSEWHERE  zjoltVehicleConstraintGetWheelLongitudinalLambda.
GetNumStepsBetweenCollisionTestActive  BOUND_ELSEWHERE  zjoltVehicleConstraintGetNumStepsBetweenCollisionTestActive; invisible to the tool because it returns uint32_t.
GetNumStepsBetweenCollisionTestInactive  BOUND_ELSEWHERE  zjoltVehicleConstraintGetNumStepsBetweenCollisionTestInactive; same uint32_t blind spot.
GetObjectLayerFilter  REAL_GAP  bound as the `object_layer` member of ZJoltVehicleWheelFilters.
GetPostCollideCallback  REAL_GAP  bound as zjoltVehicleConstraintGetPostCollideCallback.
GetPostStepCallback  REAL_GAP  bound as zjoltVehicleConstraintGetPostStepCallback.
GetPreStepCallback  REAL_GAP  bound as zjoltVehicleConstraintGetPreStepCallback.
GetRightInput  BOUND_ELSEWHERE  zjoltVehicleConstraintGetWheeledRightInput.
